url_legacy,nombre,barrio,activo_en_legacy,mejor_candidato,score,nota
club-belgrano,Club Belgrano,Quilmes,no,Belgrano Padel,0.817,"legacy en Quilmes (GBA Sur); ""Belgrano Padel"" está en GBA Oeste"
urquiza-tenis,Urquiza tenis,,si,Complejo Urquiza,0.767,"""Asociación Urquiza"" es de Villa Urquiza; ""Urquiza Padel"" está en Monserrat"
asociacion-urquiza-tenis-club,Asociación Urquiza Tenis Club,,si,Complejo Urquiza,0.75,mismo caso: Villa Urquiza vs Monserrat
buenos-aires-rowing-tenis,Buenos Aires Rowing Tenis,,si,Buenos Aires Lawn Tennis Club,0.625,Rowing (Tigre) y Lawn Tennis Club son clubes distintos
tenis-point,Tenis Point,,si,Match Point,0.561,"""Tenis Point"" y ""Match Point"" son clubes distintos"
alcorta-tenis,Alcorta Tenis,,si,Sportium Alcorta,0.492,confirmado por Andy: NO es el mismo club (instagram.com/sportium.alcorta)
parque-norte,Parque Norte,Agronomía,si,El Parque Club de Padel,0.481,
pasco-tenis,Pasco Tenis,,si,Distrito Pasco Padel,0.478,
club-atletico-lanus,Club Atlético Lanus,,si,Tiger Padel Lanús,0.475,
san-jose-tenis,San José Tenis,,no,San Juan Tennis Club,0.475,
polideportivo-juan-manuel-belgrano-,polideportivo Juan Manuel Belgrano,,no,Parque Manuel Belgrano (Ex-KDT),0.44,
futbol-vieytes,FUTBOL VIEYTES,,no,Araoz Futbol Padel,0.408,
club-san-marino,Club San Marino,,no,Head Padel Club San Isidro,0.379,
quilmes-a-club,Quilmes A. Club,,si,La Meca Club de Amig@s - Quilmes,0.327,
club-atletico-san-miguel,Club Atlético San Miguel,,si,Head Padel Club San Isidro,0.318,
clerc-academia-de-tenis-parque-roca,Clerc Academia de Tenis Parque Roca,,si,El Parque Club de Padel,0.308,
aacfq-asoc-alemana-de-cult-fisica-de-quilmes,AACFQ (Asoc. Alemana de Cult. Fisica de Quilmes),,si,La Meca Club de Amig@s - Quilmes,0.288,
club-los-cedros,Club los Cedros,,si,,0.0,
villa-del-tenis,Villa del Tenis,,si,,0.0,
sucre-tenis,Sucre Tenis,Quilmes,si,,0.0,
solis-cano,Solis Cano,,si,,0.0,
larrazabal-center,Larrazabal Center,,si,,0.0,
las-praderas-de-lujan,Las Praderas de Luján,,si,,0.0,
salguero-tenis,Salguero Tenis,Vicente Lopez,si,,0.0,
club-del-pasaje,Club del Pasaje,San Isidro,no,,0.0,
la-esquina-de-excurcionistas,La Esquina de Excurcionistas,Quilmes,si,,0.0,
bulnes-squash-tenis,Bulnes Squash-Tenis,Vicente Lopez,si,,0.0,
del-tejar-club,Del Tejar Club,Agronomía,no,,0.0,
vilas-club,Vilas Club,Vicente Lopez,si,,0.0,
club-harrods,Club Harrods,Saavedra,si,,0.0,
magic-center-club,Magic Center Club,Vicente Lopez,si,,0.0,
sahara-tenis,Sahara Tenis,Ramos Mejia,si,,0.0,
acassuso-tenis,Acassuso Tenis,,si,,0.0,
abril-club-de-campo,Abril Club de Campo,,no,,0.0,
adrogue-tenis-club,Adrogué Tenis Club,,si,,0.0,
club-nautico-buchardo,Club Nautico Buchardo,Agronomía,no,,0.0,
tennis-sheraton,Tennis Sheraton,,si,,0.0,
tenis-ocampo,Tenis Ocampo,Villa Pueyrredon,si,,0.0,
cramer-tenis-squash,Cramer Tenis Squash,,no,,0.0,
elehache,Elehache,San Isidro,si,,0.0,
club-atletico-river-plate,Club Atlético River Plate,Agronomía,si,,0.0,
top-ten,Top Ten,Quilmes,si,,0.0,
tenetz-club,Tenetz Club,,si,,0.0,
davis-tennis-club,Davis Tennis Club,San Isidro,si,,0.0,
del-tejar-club,Del Tejar Club,Avellaneda,si,,0.0,
club-atletico-banco-nacion,Club Atlético Banco Nación,,si,,0.0,
club-atletico-barracas-central,Club Atlético Barracas Central,,si,,0.0,
club-atletico-comercio,Club Atlético Comercio,Agronomía,si,,0.0,
kadima,Kadima,,si,,0.0,
obras-tenis-club,Obras Tenis Club,Agronomía,si,,0.0,
paraiso-tenis,PARAISO TENIS,,si,,0.0,
verdenaranja,Verdenaranja,,si,,0.0,
oxigeno-rackets,Oxigeno Rackets,Villa Devoto,si,,0.0,
sahara-tenis,Sahara Tenis,Ramos Mejia,no,,0.0,
tenis-megatlon-congreso,Tenis Megatlon Congreso,,no,,0.0,
montecarlo-tenis,Montecarlo Tenis,Villa del Parque,no,,0.0,
tenis-lope-de-vega,Tenis Lope De Vega,,si,,0.0,
club-river-tenis,CLUB RIVER TENIS,,si,,0.0,
residencial,Residencial,Villa del Parque,si,,0.0,
la-brava-tenis,La Brava Tenis,,si,,0.0,
atc-miramar,ATC Miramar,,si,,0.0,
naon-tenis,Naón Tenis,Avellaneda,si,,0.0,
masters-tenis-y-spa,Masters Tenis y Spa,Villa Devoto,si,,0.0,
alpina-tenis,Alpina Tenis,,no,,0.0,
tennis-global,Tennis Global,Quilmes,si,,0.0,
noir-tennis,Noir Tennis,,si,,0.0,
la-puta-loca,la puta loca,Florida,no,,0.0,
sonder,Sonder,Villa Devoto,si,,0.0,
el-solar-tenis-haedo-,El solar tenis Haedo,,si,,0.0,
centro-de-desarrollo-del-tenis,Centro de Desarrollo del Tenis,San Isidro,si,,0.0,
parkea,Parkea,,si,,0.0,
lope-de-vega-tenis-,Lope De Vega Tenis,Belgrano,si,,0.0,
club-obras,CLUB OBRAS,Agronomía,no,,0.0,
ventaja-tenis-club-,Ventaja Tenis club,,si,,0.0,
alpina-tenis,ALPINA TENIS,,no,,0.0,
-alpina-tenis,Alpina Tenis,,si,,0.0,
nueva-chicago-tenis,Nueva Chicago tenis,,si,,0.0,
barragan-tenis,barragan tenis,,no,,0.0,
asot1igoqy,asOt1igoqy,,no,,0.0,
tryxdfkrczkqdc,trYXdfkrCzkqDC,Florida,no,,0.0,
evtsgmyefzrxsnjkfy,EvtSgMyefzRxSNJKFY,Florida,no,,0.0,
yael-club,YAEL CLUB,Villa Devoto,no,,0.0,
la-azucena,La azucena,,no,,0.0,
cmhmvkwdogeiphtrogs,cMhMvkWDOGeiphtrOGS,,no,,0.0,
fysntcbbgxddhvcrob,FysNTcBbGxddHvCrOb,Florida,no,,0.0,
znmoycii,ZNmOyciI,,no,,0.0,
tcreuxuibkwdq,TCReUxuIBKwdq,,no,,0.0,
sad,SAD,Vicente Lopez,no,,0.0,
qwe,qwe,,no,,0.0,
asdasd,asdasd,,no,,0.0,
iyxggewckvsfkwey,IYXGgewcKvSFkWEy,,no,,0.0,
jtkplabs,jtkPlaBs,Florida,no,,0.0,
ntxqvekmojcptkz,nTXQVekmOjCPtKZ,,no,,0.0,
idlgpgcctiv,IDLgpGcCTiv,Ramos Mejia,no,,0.0,
khxllakiwa,khXlLAKiWa,Florida,no,,0.0,
dmhiqnhsa,DMHIQnhsA,Florida,no,,0.0,
erwzffgcsi,ERwzFfGcSi,,no,,0.0,
1,1,Florida,no,,0.0,
asdasd,asdasd,,no,,0.0,
aweq,aweq,Florida,no,,0.0,
aqsryjlikbwobcn,AqsRYjLikbwOBCN,,no,,0.0,
65194914,65194914,San Isidro,no,,0.0,
vwaysfehmlkdebcj,vwaYSfeHmLkDEbCj,,no,,0.0,
club-atletico-comercio,Club Atlético Comercio,Agronomía,si,,0.0,
club-nautico-buchardo,Club Nautico Buchardo,Agronomía,no,,0.0,
club-nautico-buchardo,Club Nautico Buchardo,Agronomía,no,,0.0,
club-nautico-buchardo,Club Nautico Buchardo,Agronomía,si,,0.0,
club-nautico-buchardo,Club Nautico Buchardo,Agronomía,no,,0.0,
club-nautico-buchardo,Club Nautico Buchardo,Agronomía,no,,0.0,
club-nautico-buchardo,Club Nautico Buchardo,Agronomía,si,,0.0,
hrluhxwg,HrLUhXWG,Florida,no,,0.0,
